year,month,day,hour,wspd,forecast
2009,9,1,0,3.816999912,6.211553052
2009,9,1,1,5.867000103,5.897693662
2009,9,1,2,5.217000008,4.579544943
2009,9,1,3,1.967000008,5.993717041
2009,9,1,4,3.467000008,5.621887719
2009,9,1,5,9.482999802,3.543394701
2009,9,1,6,10.2329998,4.260892775
2009,9,1,7,11.18299961,8.999849536
2009,9,1,8,10.18299961,9.287308467
2009,9,1,9,15.18299961,10.10115236
2009,9,1,10,16.10000038,9.292116712
2009,9,1,11,16.56699944,13.90249878
2009,9,1,12,16.61700058,15.33000719
2009,9,1,13,13.7329998,15.87349177
2009,9,1,14,16.08300018,15.89498368
2009,9,1,15,17.41699982,12.89661182
2009,9,1,16,16.16699982,15.43171782
2009,9,1,17,16.5170002,16.001621
2009,9,1,18,15.41699982,15.80391707
2009,9,1,19,13.58300018,15.90108634
2009,9,1,20,12.80000019,14.57177344
2009,9,1,21,12.21700001,12.88855857
2009,9,1,22,12.71700001,12.10331147
2009,9,1,23,11.38300037,11.48177272
2009,9,2,0,9.050000191,11.83642199
2009,9,2,1,6.400000095,10.78723804
2009,9,2,2,3.816999912,8.293856901
2009,9,2,3,3.917000055,6.408212697
2009,9,2,4,4.017000198,4.580978783
2009,9,2,5,3.349999905,4.599115489
2009,9,2,6,3.082999945,4.672304243
2009,9,2,7,2.282999992,4.190395237
2009,9,2,8,4.166999817,4.044341964
2009,9,2,9,4.933000088,3.812723853
2009,9,2,10,5.666999817,4.766793663
2009,9,2,11,5.849999905,5.549396488
2009,9,2,12,6.433000088,5.936376411
2009,9,2,13,6.333000183,5.995103127
2009,9,2,14,6.583000183,6.408954198
2009,9,2,15,6.717000008,6.356540463
2009,9,2,16,6.5,6.593921135
2009,9,2,17,5.532999992,6.645649479
2009,9,2,18,4.566999912,6.453135895
2009,9,2,19,3.832999945,5.895226728
2009,9,2,20,3.582999945,5.157796833
2009,9,2,21,2.549999952,4.577277477
2009,9,2,22,2.5,4.264823702
2009,9,2,23,3.816999912,4.021625956
2009,9,3,0,3.467000008,4.02083987
2009,9,3,1,5.382999897,4.572062853
2009,9,3,2,7.333000183,4.259829669
2009,9,3,3,8.282999992,5.624559345
2009,9,3,4,6.617000103,7.039388738
2009,9,3,5,4.882999897,7.604820335
2009,9,3,6,6.833000183,6.599653847
2009,9,3,7,8.5,5.541491076
2009,9,3,8,8.967000008,6.660908795
2009,9,3,9,6.632999897,7.888850377
2009,9,3,10,8.149999619,8.172510615
2009,9,3,11,8.649999619,6.600493841
2009,9,3,12,8.300000191,7.497325877
2009,9,3,13,8.817000389,8.042166861
2009,9,3,14,7.400000095,7.614128512
2009,9,3,15,6.25,8.130562291
2009,9,3,16,6.916999817,7.067015999
2009,9,3,17,8.5,6.254225875
2009,9,3,18,11.66699982,6.668672093
2009,9,3,19,12.4829998,7.89099967
2009,9,3,20,13,10.81491061
2009,9,3,21,10.69999981,11.35860716
2009,9,3,22,8.333000183,11.89603054
2009,9,3,23,6.482999802,10.10753127
2009,9,4,0,3.900000095,7.708671245
2009,9,4,1,4.232999802,6.453054331
2009,9,4,2,3.882999897,4.603475602
2009,9,4,3,4.882999897,4.839562985
2009,9,4,4,5.782999992,4.596844826
2009,9,4,5,7.949999809,5.535162186
2009,9,4,6,8.899999619,5.957223579
2009,9,4,7,5.5,7.419266999
2009,9,4,8,6.849999905,8.169695995
2009,9,4,9,6.433000088,5.825440101
2009,9,4,10,6.083000183,6.664808829
2009,9,4,11,5.333000183,6.408954198
2009,9,4,12,5.482999802,6.222708525
2009,9,4,13,8.25,5.63150582
2009,9,4,14,6.232999802,5.795550779
2009,9,4,15,8.899999619,7.570317677
2009,9,4,16,10.80000019,6.2524334
2009,9,4,17,10.31700039,8.171129835
2009,9,4,18,11.43299961,9.927667797
2009,9,4,19,9.583000183,9.292972019
2009,9,4,20,10.94999981,10.64702817
2009,9,4,21,10.63300037,9.058037015
2009,9,4,22,7.449999809,9.937661122
2009,9,4,23,3.066999912,9.901573816
2009,9,5,0,5.433000088,7.27376872
2009,9,5,1,4.583000183,4.052176753
2009,9,5,2,5.699999809,5.674009894
2009,9,5,3,4.066999912,5.194754395
2009,9,5,4,5.882999897,5.942542682
2009,9,5,5,10.81700039,4.742737636
2009,9,5,6,9.949999809,6.001929639
2009,9,5,7,12.05000019,9.927311787
2009,9,5,8,11.68299961,9.159837829
2009,9,5,9,12.25,11.0808793
2009,9,5,10,14.2670002,10.82192427
2009,9,5,11,15.64999962,11.28245064
2009,9,5,12,16.68300056,12.57546134
2009,9,5,13,12.91699982,14.44988372
2009,9,5,14,16.04999924,15.86424408
2009,9,5,15,16.58300018,12.16263097
2009,9,5,16,16.78300095,15.23087008
2009,9,5,17,15.96700001,15.80947348
2009,9,5,18,15.86699963,15.96666886
2009,9,5,19,15.7329998,14.96261614
2009,9,5,20,16.04999924,14.85337775
2009,9,5,21,15.81700039,14.84536245
2009,9,5,22,15.96700001,15.33460846
2009,9,5,23,13.28299999,14.85274469
2009,9,6,0,10.30000019,14.96261512
2009,9,6,1,8.967000008,12.86526072
